t_start,t_end,n_events,n_above_mc,b,b_drift_per_day,b_drift_ok,benioff_total_log10,benioff_curv,target_M,target_time,window_kind,region
2022-03-12 23:55:47.657847680+00:00,2022-04-11 23:55:47.657847680+00:00,93,3,,,False,6.476882031107401,1.260954901610999e-07,,,null_A,California
2022-04-06 03:38:25.150338944+00:00,2022-05-06 03:38:25.150338944+00:00,91,0,,,False,6.27359421801545,3.005888448207905e-08,,,null_A,California
2019-03-28 00:22:55.104121984+00:00,2019-04-27 00:22:55.104121984+00:00,25,2,,,False,6.031640661703463,-5.332555785254288e-08,,,null_A,California
2009-04-23 17:03:50.547646016+00:00,2009-05-23 17:03:50.547646016+00:00,68,2,,,False,6.489973722198733,-6.341143373604284e-08,,,null_A,California
2018-08-10 11:17:48.517583360+00:00,2018-09-09 11:17:48.517583360+00:00,18,3,,,False,6.078792759814034,8.516128579767469e-08,,,null_A,California
2020-09-15 20:51:39.969353728+00:00,2020-10-15 20:51:39.969353728+00:00,276,11,,,False,6.989076357311931,-7.567783189878452e-08,,,null_A,California
2004-06-19 15:10:08.835785504+00:00,2004-07-19 15:10:08.835785504+00:00,50,6,,,False,6.398243099631098,1.8140621428087518e-07,,,null_A,California
2021-10-16 06:55:43.103731200+00:00,2021-11-15 06:55:43.103731200+00:00,98,3,,,False,6.446428763573103,-3.2261600414136156e-07,,,null_A,California
2019-05-16 02:10:24.604722688+00:00,2019-06-15 02:10:24.604722688+00:00,36,3,,,False,6.19684188819498,1.9375370725554232e-07,,,null_A,California
2024-03-19 11:05:39.313659008+00:00,2024-04-18 11:05:39.313659008+00:00,72,5,,,False,6.366786256792825,2.1268833866469824e-07,,,null_A,California
2003-08-02 17:35:40.711315920+00:00,2003-09-01 17:35:40.711315920+00:00,40,2,,,False,6.213883788888542,2.6039063318283633e-07,,,null_A,California
2005-09-21 04:41:19.756251072+00:00,2005-10-21 04:41:19.756251072+00:00,70,19,,,False,6.800639252413426,-3.63955328483018e-08,,,null_A,California
2017-04-19 10:29:04.800696512+00:00,2017-05-19 10:29:04.800696512+00:00,9,1,,,False,5.619180929042978,-3.866499802287076e-08,,,null_A,California
2014-06-24 17:32:49.725844672+00:00,2014-07-24 17:32:49.725844672+00:00,10,1,,,False,5.664499213579047,-3.553401341571196e-08,,,null_A,California
2004-12-23 06:18:55.162986784+00:00,2005-01-22 06:18:55.162986784+00:00,39,6,,,False,6.484098377032507,-4.420228804220622e-07,,,null_A,California
2020-01-14 06:11:58.009775104+00:00,2020-02-13 06:11:58.009775104+00:00,95,2,,,False,6.425540122778727,8.753544657835567e-08,,,null_A,California
2017-10-28 20:50:19.869167808+00:00,2017-11-27 20:50:19.869167808+00:00,26,1,,,False,6.004254928732486,7.077116515798836e-08,,,null_A,California
2023-10-24 00:03:05.833957504+00:00,2023-11-23 00:03:05.833957504+00:00,77,2,,,False,6.381955370994131,-2.735116276069462e-07,,,null_A,California
2013-10-31 20:29:57.883314752+00:00,2013-11-30 20:29:57.883314752+00:00,12,0,,,False,5.426680021598169,-3.590815730275251e-08,,,null_A,California
2015-10-18 18:43:35.703870528+00:00,2015-11-17 18:43:35.703870528+00:00,19,2,,,False,5.952988660075902,-9.177692921049928e-08,,,null_A,California
2002-08-21 21:44:19.075134480+00:00,2002-09-20 21:44:19.075134480+00:00,41,5,,,False,6.411009072669155,-2.608555629647215e-07,,,null_A,California
2003-07-01 08:29:19.256848832+00:00,2003-07-31 08:29:19.256848832+00:00,38,2,,,False,6.192099259536655,-1.284527591414695e-07,,,null_A,California
2024-01-28 13:09:32.438666368+00:00,2024-02-27 13:09:32.438666368+00:00,91,8,,,False,6.580462282040908,-3.7454815770152583e-07,,,null_A,California
2014-11-07 13:37:21.054889856+00:00,2014-12-07 13:37:21.054889856+00:00,30,3,,,False,6.170596609416575,-3.67351423302047e-07,,,null_A,California
2020-01-16 09:49:51.043708800+00:00,2020-02-15 09:49:51.043708800+00:00,91,2,,,False,6.414881575616541,-3.4163969914710067e-08,,,null_A,California
2011-08-24 15:55:21.377895552+00:00,2011-09-23 15:55:21.377895552+00:00,37,2,,,False,6.230111442421099,-5.093960174955464e-08,,,null_A,California
2019-07-22 01:25:01.207460224+00:00,2019-08-21 01:25:01.207460224+00:00,71,6,,,False,6.607107682592993,-5.048167690135078e-07,,,null_A,California
