t_start,t_end,n_events,n_above_mc,b,b_drift_per_day,b_drift_ok,benioff_total_log10,benioff_curv,target_M,target_time,window_kind
2009-01-05 21:53:23.451274240+00:00,2009-02-04 21:53:23.451274240+00:00,63,63,0.6785851279738309,3.0430815936877926e-05,True,5.588488981335541,-7.760706939080687e-09,,,null
2002-03-08 21:12:08.831608224+00:00,2002-04-07 21:12:08.831608224+00:00,50,50,0.8634085127301234,-0.016468545850938647,True,5.30803574770318,-2.0963929301860608e-08,,,null
2002-12-10 03:20:34.028875456+00:00,2003-01-09 03:20:34.028875456+00:00,62,62,0.7214967277063667,-0.011558276018680268,True,5.660953045308518,8.333017184110473e-08,,,null
2023-12-20 00:14:53.412235392+00:00,2024-01-19 00:14:53.412235392+00:00,14,14,,,False,4.789155901307424,9.940802144551396e-09,,,null
2022-08-21 19:07:46.606041856+00:00,2022-09-20 19:07:46.606041856+00:00,23,23,,,False,5.120273872959176,1.644542767078671e-08,,,null
2017-06-07 22:26:09.225862976+00:00,2017-07-07 22:26:09.225862976+00:00,38,38,0.6937028294377293,,False,5.291532510068638,5.497567175203408e-08,,,null
2006-08-16 18:46:15.603580480+00:00,2006-09-15 18:46:15.603580480+00:00,61,61,0.8601286816915041,0.013203831185715078,True,5.414407349231101,7.82055920833205e-09,,,null
2024-02-24 06:00:48.395318784+00:00,2024-03-25 06:00:48.395318784+00:00,22,22,,,False,4.972347208851491,-1.0616602204359694e-08,,,null
2019-05-28 06:37:13.512371200+00:00,2019-06-27 06:37:13.512371200+00:00,31,31,0.8776485618644593,-0.031487551494014235,True,5.104028685992957,1.2220396331880707e-08,,,null
2017-11-11 07:26:16.914978624+00:00,2017-12-11 07:26:16.914978624+00:00,23,23,,,False,5.164573944612021,-1.0640585859130886e-08,,,null
2011-03-13 15:42:11.506986944+00:00,2011-04-12 15:42:11.506986944+00:00,29,29,,,False,5.107254747523737,9.08189202340227e-09,,,null
2006-10-13 18:24:40.171632512+00:00,2006-11-12 18:24:40.171632512+00:00,72,72,0.8702811772066275,0.003138944133418299,True,5.5985698553048735,3.759743748461114e-08,,,null
2002-05-27 10:21:34.458787232+00:00,2002-06-26 10:21:34.458787232+00:00,92,92,0.6716270353857652,0.002388000367844988,True,5.715529191100429,-3.572799458045039e-08,,,null
2022-06-28 09:23:33.484777216+00:00,2022-07-28 09:23:33.484777216+00:00,35,35,0.6862441023301946,,False,5.363583049013613,6.367133987747403e-08,,,null
2011-05-11 00:46:33.677432768+00:00,2011-06-10 00:46:33.677432768+00:00,33,33,0.7725993478602324,,False,5.156540922335713,-2.4053740705363853e-08,,,null
2005-01-15 20:06:24.010700928+00:00,2005-02-14 20:06:24.010700928+00:00,237,237,0.8302637106644404,-0.0026588680539327957,True,6.14240961385271,-3.5169738593521266e-08,,,null
2007-08-16 14:13:04.866413056+00:00,2007-09-15 14:13:04.866413056+00:00,45,45,0.6120655084762395,-0.031992692485375215,True,5.686778246468261,5.567332030378177e-08,,,null
2014-06-07 10:23:20.832473984+00:00,2014-07-07 10:23:20.832473984+00:00,54,54,0.6152125399468938,-0.010867943848036275,True,5.665034673744987,-1.4159078847617027e-08,,,null
2004-05-27 22:47:30.144824160+00:00,2004-06-26 22:47:30.144824160+00:00,105,105,0.8197181484781852,-0.01561249313775854,True,5.678348321186988,3.7593859446980574e-08,,,null
2021-05-05 20:59:32.832188928+00:00,2021-06-04 20:59:32.832188928+00:00,29,29,,,False,5.415368837812571,-2.5166903723308918e-08,,,null
2018-11-25 03:49:33.342215424+00:00,2018-12-25 03:49:33.342215424+00:00,45,45,0.6915517227758788,0.005703245260931248,True,5.685645195618971,-7.520450162843295e-08,,,null
